Entity,Code,Day,p_avg_all_ages
Albania,ALB,2020-01-31,-10.65
Albania,ALB,2020-02-29,2.17
Albania,ALB,2020-03-31,0.62
Albania,ALB,2020-04-30,3.23
Albania,ALB,2020-05-31,6.15
Albania,ALB,2020-06-30,9.3
Albania,ALB,2020-07-31,22.73
Albania,ALB,2020-08-31,44.95
Albania,ALB,2020-09-30,29.39
Albania,ALB,2020-10-31,44.36
Albania,ALB,2020-11-30,118.46
Albania,ALB,2020-12-31,53.58
Albania,ALB,2021-01-31,22.64
Albania,ALB,2021-02-28,91.02
Albania,ALB,2021-03-31,74.02
Albania,ALB,2021-04-30,38.42
Albania,ALB,2021-05-31,10.33
Albania,ALB,2021-06-30,11.94
Albania,ALB,2021-07-31,3.13
Albania,ALB,2021-08-31,21.77
Albania,ALB,2021-09-30,63.6
Albania,ALB,2021-10-31,53.73
Albania,ALB,2021-11-30,42.05
Albania,ALB,2021-12-31,35.58
Albania,ALB,2022-01-31,34.57
Albania,ALB,2022-02-28,39.33
Albania,ALB,2022-03-31,-4.48
Albania,ALB,2022-04-30,-2.32
Albania,ALB,2022-05-31,-1.39
Albania,ALB,2022-06-30,-5.75
Albania,ALB,2022-07-31,12.65
Albania,ALB,2022-08-31,9.82
Albania,ALB,2022-09-30,-17.35
Albania,ALB,2022-10-31,0.2
Albania,ALB,2022-11-30,-5.23
Albania,ALB,2022-12-31,-22.92
Albania,ALB,2023-01-31,-11.72
Albania,ALB,2023-02-28,-4.31
Albania,ALB,2023-03-31,-23.97
Albania,ALB,2023-04-30,-4.84
Albania,ALB,2023-05-31,-1.1
Albania,ALB,2023-06-30,-19.45
Albania,ALB,2023-07-31,12.99
Albania,ALB,2023-08-31,-0.42
Albania,ALB,2023-09-30,-14.54
Algeria,DZA,2020-01-31,0.58
Algeria,DZA,2020-02-29,2.86
Algeria,DZA,2020-03-31,3.82
Algeria,DZA,2020-04-30,4.86
Algeria,DZA,2020-05-31,3.64
Algeria,DZA,2020-06-30,29.76
Algeria,DZA,2020-07-31,118.41
Algeria,DZA,2020-08-31,59.02
Algeria,DZA,2020-09-30,23.8
Algeria,DZA,2020-10-31,26.47
Algeria,DZA,2020-11-30,74.28
Algeria,DZA,2020-12-31,33.82
Andorra,AND,2020-01-31,3.03
Andorra,AND,2020-02-29,40.15
Andorra,AND,2020-03-31,29.87
Andorra,AND,2020-04-30,163.16
Andorra,AND,2020-05-31,80
Andorra,AND,2020-06-30,7.44
Andorra,AND,2020-07-31,12.4
Andorra,AND,2020-08-31,-19.49
Andorra,AND,2020-09-30,14.41
Andorra,AND,2020-10-31,97.67
Andorra,AND,2020-11-30,-22.76
Andorra,AND,2020-12-31,38.51
Andorra,AND,2021-01-31,57.58
Andorra,AND,2021-02-28,36.36
Andorra,AND,2021-03-31,-15.58
Andorra,AND,2021-04-30,88.6
Andorra,AND,2021-05-31,60
Andorra,AND,2021-06-30,-21.49
Andorra,AND,2021-07-31,12.4
Andorra,AND,2021-08-31,18.64
Andorra,AND,2021-09-30,10.17
Andorra,AND,2021-10-31,4.65
Andorra,AND,2021-11-30,5.69
Andorra,AND,2021-12-31,41.89
Antigua and Barbuda,ATG,2020-01-31,19.62
Antigua and Barbuda,ATG,2020-02-29,-6.75
Antigua and Barbuda,ATG,2020-03-31,9.49
Antigua and Barbuda,ATG,2020-04-30,10.86
Antigua and Barbuda,ATG,2020-05-31,13.04
Antigua and Barbuda,ATG,2020-06-30,-8.7
Antigua and Barbuda,ATG,2020-07-31,9.52
Antigua and Barbuda,ATG,2020-08-31,-18.52
Antigua and Barbuda,ATG,2020-09-30,-5.06
Antigua and Barbuda,ATG,2020-10-31,-2.72
Antigua and Barbuda,ATG,2020-11-30,2.94
Antigua and Barbuda,ATG,2020-12-31,-11.11
Antigua and Barbuda,ATG,2021-01-31,33.97
Antigua and Barbuda,ATG,2021-02-28,34.92
Antigua and Barbuda,ATG,2021-03-31,0.36
Antigua and Barbuda,ATG,2021-04-30,13.12
Antigua and Barbuda,ATG,2021-05-31,0
Antigua and Barbuda,ATG,2021-06-30,-15.22
Antigua and Barbuda,ATG,2021-07-31,30.95
Antigua and Barbuda,ATG,2021-08-31,-12.96
Antigua and Barbuda,ATG,2021-09-30,119.41
Antigua and Barbuda,ATG,2021-10-31,-49.42
Antigua and Barbuda,ATG,2021-11-30,34.45
Antigua and Barbuda,ATG,2021-12-31,-13.33
Argentina,ARG,2020-01-31,-2.52
Argentina,ARG,2020-02-29,2.24
Argentina,ARG,2020-03-31,0.14
Argentina,ARG,2020-04-30,-4.03
Argentina,ARG,2020-05-31,-8.47
Argentina,ARG,2020-06-30,-14.62
Argentina,ARG,2020-07-31,2.43
Argentina,ARG,2020-08-31,16.62
Argentina,ARG,2020-09-30,38.34
Argentina,ARG,2020-10-31,45.24
Argentina,ARG,2020-11-30,36.29
Argentina,ARG,2020-12-31,19.68
Argentina,ARG,2021-01-31,30.97
Argentina,ARG,2021-02-28,23.6
Argentina,ARG,2021-03-31,23.19
Argentina,ARG,2021-04-30,54.25
